Code	Product label	Exported value in 2000-Q1	Exported value in 2000-Q2	Exported value in 2000-Q3	Exported value in 2000-Q4	Exported value in 2001-Q1	Exported value in 2001-Q2	Exported value in 2001-Q3	Exported value in 2001-Q4	Exported value in 2002-Q1	Exported value in 2002-Q2	Exported value in 2002-Q3	Exported value in 2002-Q4	Exported value in 2003-Q1	Exported value in 2003-Q2	Exported value in 2003-Q3	Exported value in 2003-Q4	Exported value in 2004-Q1	Exported value in 2004-Q2	
210690	"Food preparations, n.e.s."	780	1093	1461	1610	1718	1796	2544	2009	2263	2359	2725	2370	2273	2661	2760	3244	2510	2138	
200190	"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ..."	670	882	491	785	810	762	625	977	1303	1512	1207	1451	1410	1709	1097	1401	1619	2066	
081190	"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ..."	0	1011	379	127	119	636	790	239	139	893	1082	394	667	2305	1370	214	499	1966	
070990	"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ..."	2910	625	158	2081	4112	920	356	3293	5526	1133	448	6379	13023	1441	391	9247	13731	1953	
071320	"Dried, shelled chickpeas "garbanzos", whether or not skinned or split"	608	706	0	0	0	730	205	648	0	68	646	550	556	881	1372	1943	1635	1951	
150420	"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ..."	0	3	148	2309	291	0	3709	6436	3930	0	1518	797	3737	1048	2017	5016	2383	1643	
080212	"Fresh or dried almonds, shelled"	849	851	953	708	493	541	1089	959	878	793	1213	1057	1350	876	1724	1957	1667	1247	
071022	"Shelled or unshelled beans "Vigna spp., Phaseolus spp.", uncooked or cooked by steaming or ..."	49	927	341	291	224	1082	241	127	663	853	828	697	1	893	501	497	260	1159	
170390	"Beet molasses resulting from the extraction or refining of sugar"	956	1076	1663	1536	586	989	1082	1445	1447	0	0	0	263	910	770	1269	1547	1124	
071040	"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen"	0	433	0	88	253	709	0	333	82	602	6	495	157	1178	0	661	399	1121	
080711	"Fresh watermelons"	67	429	8	166	292	261	60	189	9	1003	55	122	140	1537	215	0	141	950	
200590	"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ..."	99	258	507	825	1372	795	1045	832	972	729	663	854	648	866	742	825	757	950	
190240	"Couscous, whether or not prepared"	123	258	178	166	229	219	186	346	307	310	471	581	485	861	656	685	864	934	
010690	"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other ..."	0	0	0	0	0	0	0	0	0	0	38	55	842	924	199	239	851	822	
121220	"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground"	433	785	2389	1565	1038	638	2138	1223	946	530	1443	1928	831	365	3001	2171	695	822	
170310	"Cane molasses resulting from the extraction or refining of sugar"	379	166	0	188	193	0	0	208	357	0	0	180	159	0	143	0	92	759	
070910	"Fresh or chilled globe artichokes"	269	324	0	0	110	7	0	1	77	170	29	0	431	464	45	0	834	722	
151710	"Margarine (excl. liquid)"	215	299	159	348	445	345	313	487	480	369	476	592	650	526	588	715	619	719	
150790	"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)"	0	0	0	0	11	20	59	19	114	0	299	515	140	1366	0	0	0	714	
071190	"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ..."	786	374	90	184	92	26	300	76	4	8	22	26	140	326	79	151	789	671	
200110	"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid"	833	638	1511	1200	801	341	2303	1323	558	605	2920	1632	767	497	2980	1397	1013	632	
200919	"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter ..."	340	952	807	440	644	779	488	643	636	796	903	874	1017	833	1027	1019	381	618	
220710	"Undenatured ethyl alcohol, of actual alcoholic strength of >= 80%"	0	286	406	283	404	281	400	406	0	559	0	406	0	534	569	0	535	545	
090920	"Coriander seeds"	660	284	939	934	736	371	648	264	851	824	535	1169	610	328	317	650	395	507	
080520	"Fresh or dried mandarins incl. tangerines and satsumas, clementines, wilkings and similar citrus ..."	48563	773	0	43250	22143	2364	147	74138	27749	527	27	85226	40583	1776	0	95001	34318	503	
170490	"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)"	94	60	63	119	165	82	100	168	151	268	235	224	477	372	439	399	539	439	
220421	"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ..."	0	124	99	55	75	51	83	77	126	207	84	185	88	143	241	228	248	438	
210210	"Active yeasts"	276	374	231	372	189	295	280	354	207	319	346	412	612	523	241	126	559	415	
121299	"Fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the ..."	2444	257	3	8	3238	240	19	0	3010	587	16	104	5213	1069	6	155	6848	338	
520299	"Cotton waste (excl. yarn waste, thread waste and garnetted stock)"	223	59	121	121	228	191	97	125	280	170	190	77	1	412	212	525	530	320	
091040	"Thyme and bay leaves"	175	315	138	142	161	155	194	290	191	106	291	204	252	197	318	361	400	312	
151190	"Palm oil and its fractions, whether or not refined (excl. chemically modified and crude)"	0	0	0	0	0	0	0	58	511	617	418	229	777	0	1037	1288	415	310	
070390	"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)"	2	0	0	0	57	51	0	3	21	1	0	74	50	0	0	140	246	305	
120991	"Vegetable seeds, for sowing"	253	23	233	140	185	146	310	148	183	113	385	2044	299	304	513	206	625	302	
170230	"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter ..."	0	0	0	0	0	0	0	0	111	0	94	325	77	261	87	63	150	286	
060290	"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, ..."	135	85	105	92	145	123	131	73	214	267	75	109	166	311	50	60	235	283	
090230	"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ..."	278	149	93	121	159	198	98	139	119	133	172	189	138	269	209	421	311	274	
071080	"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excl. potatoes, ..."	121	164	132	95	628	321	130	370	175	71	318	251	403	247	176	264	513	268	
210230	"Prepared baking powders"	2	0	2	3	2	0	0	60	70	322	363	545	356	362	237	463	327	257	
210410	"Soups and broths and preparations therefor"	149	96	440	710	93	189	702	638	494	185	1347	682	35	1	1321	657	95	249	
200320	"Truffles, prepared or preserved otherwise than by vinegar or acetic acid"	303	55	10	0	146	0	178	5	123	0	0	5	129	257	52	126	314	240	
200559	"Unshelled beans "Vigna spp., Phaseolus spp.", prepared or preserved otherwise than by vinegar ..."	154	260	355	295	297	375	414	540	20	247	590	671	538	562	349	645	282	240	
070310	"Fresh or chilled onions and shallots"	66	2	9	14	117	167	16	10	34	376	96	42	11	224	7	0	557	236	
080910	"Fresh apricots"	81	334	12	35	34	608	23	15	10	1049	241	57	58	225	52	67	0	230	
110812	"Maize starch"	94	117	114	248	225	161	145	282	53	55	133	121	38	93	264	320	99	230	
070952	"Fresh or chilled mushrooms of the genus Boletus"	166	0	0	0	423	149	9	66	41	13	12	401	61	143	19	776	1034	219	
151590	"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ..."	12	19	30	23	29	24	35	19	32	53	51	55	148	165	105	182	190	211	
170410	"Chewing gum, whether or not sugar-coated"	139	221	216	138	260	160	120	235	116	33	328	63	480	628	35	41	658	210	
190590	"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ..."	19	76	36	69	153	171	50	97	296	141	77	172	166	256	123	131	219	207	
060310	"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes"	3657	2213	71	1821	2957	1726	44	1553	3130	1239	216	1050	2163	913	70	1067	1444	203	
071350	"Dried, shelled broad beans "Vicia faba var. major" and horse beans "Vicia faba var. equina ..."	0	39	36	6	0	344	467	122	11	68	455	1	5	280	827	230	23	199	
071159	"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	186	
160414	"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excl. minced)"	157	495	448	209	95	599	767	464	8	132	180	102	229	541	297	175	98	177	
090210	"Green tea in immediate packings of <= 3 kg"	155	227	111	141	123	280	112	371	218	185	143	157	243	308	135	221	171	173	
040310	"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ..."	9	5	4	9	2	2	0	9	83	18	20	42	29	48	73	104	124	156	
050800	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	50	171	274	101	52	221	197	176	189	537	758	285	231	338	313	266	47	151	
070110	"Seed potatoes"	0	0	0	0	0	9	0	0	0	53	0	0	0	0	3	0	0	149	
080540	"Fresh or dried grapefruit and pomelos"	137	105	106	67	33	125	0	0	14	181	0	3	49	50	0	0	42	130	
071220	"Dried onions, whole, cut, sliced, broken or in powder, but not further prepared"	0	0	0	0	0	0	0	0	0	17	0	0	0	36	23	0	6	127	
070700	"Cucumbers and gherkins, fresh or chilled"	84	33	3	10	107	25	0	414	432	33	11	394	718	120	7	386	549	126	
070810	"Fresh or chilled peas "Pisum sativum", shelled or unshelled"	604	30	0	254	421	9	7	150	328	242	0	333	498	224	0	200	848	115	
230690	"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ..."	0	0	0	0	0	0	0	0	0	0	0	0	22	55	39	22	31	115	
190110	"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ..."	33	9	27	14	19	14	46	38	23	12	43	28	45	31	34	63	276	111	
151620	"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ..."	0	0	0	0	0	0	4	3	0	2	10	4	2	8	12	36	58	109	
152000	"Glycerol, crude; glycerol waters and glycerol lyes"	0	0	91	2	0	3	0	0	0	117	0	0	158	0	22	82	0	109	
190532	"Waffles and wafers"	0	0	0	0	0	0	0	0	0	0	0	43	46	40	43	87	78	102	
071340	"Dried, shelled lentils, whether or not skinned or split"	0	455	0	0	0	0	0	121	0	0	0	0	26	221	32	18	157	99	
140200	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	82	101	66	37	38	76	95	
330130	"Resinoids"	0	0	0	0	0	0	1	0	0	99	0	90	79	157	85	57	175	93	
160300	"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"	36	65	78	56	51	62	35	86	57	82	79	67	73	109	67	84	84	92	
200490	"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ..."	0	32	0	73	2	0	32	25	0	15	15	66	23	28	15	50	66	90	
520100	"Cotton, neither carded nor combed"	169	244	23	0	72	1	0	0	155	133	0	0	116	211	0	1	30	90	
060210	"Unrooted cuttings and slips"	87	15	4	21	69	9	31	27	35	12	0	31	65	26	15	34	128	82	
071029	"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in ..."	349	0	16	0	40	176	143	13	4	0	0	0	0	83	0	0	0	82	
090411	"Pepper of the genus Piper, neither crushed nor ground"	1	2	2	46	0	36	0	6	18	9	19	3	17	23	52	90	12	78	
330119	"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excl. ..."	0	0	0	0	0	89	3	6	0	22	18	0	0	22	3	1	14	78	
071090	"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen"	23	124	15	5	128	62	43	110	131	88	36	16	186	39	0	8	238	76	
071333	"Dried, shelled kidney beans "Phaseolus vulgaris", whether or not skinned or split"	298	1	0	0	0	155	0	0	0	0	0	0	82	2	0	39	27	75	
120929	"Seeds of forage plants for sowing (excl. of cereals and of sugar beet, alfalfa, clover "Trifolium ..."	16	0	12	0	0	0	7	0	0	0	0	15	0	12	0	0	49	73	
350520	"Glues based on starches, dextrins or other modified starches (excl. those put up for retail ..."	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	1	69	
081400	"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ..."	63	60	34	19	14	35	15	6	52	27	14	38	79	84	36	92	85	67	
220300	"Beer made from malt"	72	7	76	33	35	47	41	36	26	44	46	55	47	113	72	15	13	66	
071290	"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ..."	1177	397	1243	1668	2649	514	2313	2790	1377	2318	1122	2379	1913	1848	1463	1470	571	63	
330112	"Oils of sweet and bitter orange, whether or not terpeneless, incl. concretes and absolutes ..."	54	447	239	0	29	216	0	86	40	217	106	143	52	456	201	2	147	59	
060220	"Edible fruit or nut trees, shrubs and bushes, whether or not grafted"	2	3	5	9	23	13	59	5	21	6	8	5	6	29	38	16	512	57	
150500	"Wool grease and fatty substances derived therefrom, incl. lanolin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	
200210	"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	5	0	1	23	0	0	0	58	20	32	11	99	21	29	56	
090420	"Fruits of the genus Capsicum or of the genus Pimenta, dried or crushed or ground"	300	246	353	778	319	72	579	798	422	187	560	1053	422	139	532	694	380	54	
110319	"Groats and meal of cereals (excl. wheat and maize)"	6	5	11	25	17	8	17	24	12	29	18	47	22	49	54	111	65	52	
070529	"Fresh or chilled chicory (excl. witloof chicory)"	0	0	0	0	40	0	0	1	112	1	0	61	334	3	0	129	415	44	
070320	"Garlic, fresh or chilled"	0	39	260	54	0	331	90	38	323	176	874	385	0	190	314	35	0	42	
210320	"Tomato ketchup and other tomato sauces"	0	0	1	0	6	13	14	14	15	0	17	6	27	23	0	1	0	40	
200830	"Citrus fruit, prepared or preserved, whether or not containing added sugar or other sweetening ..."	59	158	35	14	20	26	15	18	75	46	22	2	25	28	4	5	72	39	
070959	"Fresh or chilled edible mushrooms and truffles (excl. Agaricus, Boletus, Cantharellus, shiitake, ..."	0	0	0	0	0	0	0	0	0	0	0	43	136	93	0	56	160	37	
070890	"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas "Pisum sativum" and ..."	6	1	0	3	2	6	0	1	7	12	0	8	79	5	0	8	396	36	
070951	"Fresh or chilled mushrooms of the genus "Agaricus""	61	241	0	681	242	5	0	1013	328	217	0	893	355	391	0	149	379	36	
081090	"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ..."	0	0	22	2	0	4	7	1	0	203	75	14	24	500	23	11	0	35	
160412	"Prepared or preserved herrings, whole or in pieces (excl. minced)"	0	0	26	36	47	90	62	118	75	40	44	174	121	73	138	146	140	35	
160419	"Prepared or preserved fish, whole or in pieces (excl. minced, merely smoked, and salmon, herrings, ..."	69	4	43	71	0	12	24	9	0	15	57	7	12	11	21	32	23	34	
120999	"Seeds, fruits and spores, for sowing (excl. leguminous vegetables and sweetcorn, coffee, tea, ..."	0	0	0	0	1	0	0	0	0	2	7	0	1	1	3	16	10	33	
190531	"Sweet biscuits"	0	0	0	0	0	0	0	0	0	0	0	41	1	30	5	27	32	33	
210330	"Mustard flour and meal, whether or not prepared, and mustard"	15	1	0	4	8	12	30	8	0	47	0	17	46	12	0	0	0	32	
070519	"Fresh or chilled lettuce (excl. cabbage lettuce)"	0	1	0	0	0	0	0	3	0	4	0	0	0	12	1	2	13	31	
090810	"Nutmeg"	0	0	0	0	0	56	0	91	46	32	21	0	61	67	40	49	36	31	
130190	"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excl. gum Arabic)"	9	18	30	11	45	21	80	45	57	18	42	25	7	25	18	9	14	30	
071310	"Dried, shelled peas "Pisum sativum", whether or not skinned or split"	6	7	1	0	0	0	25	0	0	0	15	0	3	0	36	1	3	29	
080440	"Fresh or dried avocados"	13	69	0	12	52	76	3	17	24	135	13	183	539	536	14	35	31	29	
060120	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory ..."	93	80	23	0	1	25	0	0	10	0	0	6	48	27	0	0	118	28	
220210	"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ..."	78	128	151	80	81	162	147	126	0	103	62	100	8	8	0	27	1	28	
520291	"Garnetted stock of cotton"	0	0	11	3	0	45	25	45	7	0	0	0	0	5	0	0	0	28	
091099	"Spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ..."	23	28	3	10	21	17	26	32	30	15	1	14	29	31	70	47	39	27	
080940	"Fresh plums and sloes"	0	12	2	6	0	15	16	2	1	5	2	0	0	3	18	1	1	26	
091091	"Mixtures of different types of spices"	1	3	6	1	0	0	7	0	10	1	1	25	16	50	12	13	7	26	
070610	"Fresh or chilled carrots and turnips"	89	3	3	3	8	19	0	9	31	13	0	6	4	11	0	19	15	25	
130239	"Mucilages and thickeners derived from vegetable products, whether or not modified (excl. from ..."	50	0	44	69	47	99	0	44	22	47	2	97	5	29	2	29	0	25	
060390	"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable ..."	0	9	17	0	1	5	4	28	10	13	22	30	7	3	24	14	2	24	
080420	"Fresh or dried figs"	0	0	61	14	8	0	209	41	43	0	159	60	0	0	77	59	77	24	
070690	"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excl. ..."	2043	1	9	452	416	5	0	44	0	8	0	86	208	54	0	114	318	22	
010190	"Live mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	4	0	17	9	8	12	21	
071231	"Dried mushrooms of the genus "Agaricus", whole, cut, sliced, broken or in powder, but not further ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	18	6	0	2	20	
020319	"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts ..."	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
070920	"Fresh or chilled asparagus"	100	72	0	18	286	48	0	4	170	84	0	50	271	0	1	84	279	15	
170290	"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ..."	0	0	10	19	43	0	14	0	0	0	0	0	0	0	0	0	0	15	
410390	"Raw hides and skins, fresh, or salted, dried, limed, pickled or otherwise preserved, whether ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
071120	"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ..."	386	486	379	29	135	13	0	46	18	49	26	34	18	52	0	0	14	13	
151219	"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ..."	4	0	0	0	0	0	0	0	13	161	2	28	31	51	25	14	14	12	
330125	"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excl. those of peppermint ..."	28	16	26	42	16	16	82	7	13	10	58	7	19	34	22	130	21	12	
020727	"Frozen cuts and edible offal of turkeys of the species domesticus"	6	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	11	
220900	"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid"	0	5	30	14	0	25	8	17	13	31	15	82	13	14	74	38	14	11	
071140	"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	2	7	3	0	20	12	0	15	32	0	0	6	88	14	0	59	100	10	
010110	"Pure-bred breeding horses and asses"	0	0	0	0	0	0	0	0	0	0	0	8	16	3	52	4	1	9	
190219	"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs"	0	0	7	4	11	3	2	73	6	4	12	7	21	3	3	12	4	9	
051191	"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ..."	13	18	14	11	87	11	60	147	7	27	20	9	2	6	6	8	8	8	
070410	"Fresh or chilled cauliflowers and broccoli"	9	0	1	0	1	0	0	1	1	0	0	0	0	0	0	8	8	8	
140190	"Reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, lime bark and other vegetable ..."	0	0	16	0	0	12	4	2	0	4	1	0	23	3	1	0	16	7	
070970	"Fresh or chilled spinach, New Zealand spinach and orache spinach"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	23	6	
071010	"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen"	450	330	0	0	66	22	18	1	120	1	0	0	7	0	0	28	2	6	
151499	"High erucic acid rape or colza oil "fixed oil which has an erucic acid content of >= 2%", and ..."	0	0	0	0	0	0	0	0	0	0	0	7	4	10	5	8	0	6	
020422	"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	19	17	5	
071390	"Dried, shelled leguminous vegetables, whether or not skinned or split (excl. peas, chickpeas, ..."	0	0	0	0	0	0	0	0	0	0	37	0	0	0	65	0	27	5	
110311	"Groats and meal of wheat"	5	6	11	1	1	2	0	11	8	0	4	2	1	6	4	1	10	5	
120799	"Oil seeds and oleaginous fruits, whether or not broken (excl. edible nuts, olives, soya beans, ..."	12	4	30	116	8	8	63	87	3	2	22	43	9	1	56	25	26	5	
200799	"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing ..."	24	9	16	2	9	13	18	6	0	1	3	11	0	2	6	3	3	5	
